Name,Location,Latitude,Longitude,First_Lit,Year_Automated,Automated,Year_Deactivated,Current_Lens,Focal_Height
Alcatraz Island Light,San Francisco(Alcatraz Island),37.826305°N,122.422213°W,1854,1963,1,,DCB-24,214
Anacapa Island Light,Anacapa Island,34.015827°N,119.359548°W,1912,1967,1,,DCB-24,277
Ano Nuevo Light,Año Nuevo Island,37.1083°N,122.3378°W,1890,,0,1948,None,0
Ballast Point Light,San Diego(Point Loma),32.686389°N,117.232500°W,1890,,0,1960,None,0
Battery Point Light,Crescent City,41.744094°N,124.203099°W,1856,1953,1,,375mm,77
Cape Mendocino Light,Shelter Cove,40.4399056°N,124.4060306°W,1868,1951,1,1971,None,422
Carquinez Strait Light,Vallejo,38.067816°N,122.213832°W,1910,,0,1951,None,56
East Brother Island Light,Richmond,37.963233°N,122.433643°W,1874,1969,1,,FA 251,61
Farallon Island Light,San Francisco(Farallon Islands),37.698966°N,123.001651°W,1856,1972,1,,VRB-25,358
Fort Point Light,San Francisco,37.81056°N 1,122.477333°W,1855,,0,1934,None,110
Humboldt Harbor Light,Eureka(Humboldt Bay),40.768639°N,124.221028°W,1856,,0,1892,None,45
Lime Point Light,San Francisco,37.825447°N,122.478321°W,1900,1961,1,,None,20
Lions Lighthouse for Sight,Long Beach,33.7602334°N,118.1941101°W,2000,,0,Un­k,Un­known,66
Long Beach Light,Long Beach(Port of Long Beach),33.723237°N,118.186821°W,1949,1949,1,,Un­known,50
Los Angeles Harbor Light,Los Angeles(Port of Los Angeles),33.70857°N,118.25160°W,1913,1973,1,,DCB-24,73
Mare Island Light,Vallejo(Mare Island),38.074834°N,122.250464°W,1873,,0,1917,None,76
Mile Rocks Light,San Francisco,﻿37.792765°N,122.510366°W,1906,1966,1,,DCB-24,49
Oakland Harbor Light,Oakland,﻿37.781335°N,122.243817°W,1890,,0,1966,None,0
Parkers' Lighthouse,Long Beach,﻿33.7598744°N,118.1920629°W,1949,,0,Un­k,Un­known,0
Piedras Blancas Light,San Simeon,﻿35.665639°N,121.284333°W,1875,1975,1,,VRB-25,142
Pigeon Point Light,Half Moon Bay,﻿37.181750°N,122.393917°W,1872,1974,1,,DCB-24,148
Point Arena Light,Point Arena,﻿38.954750°N,123.740500°W,1870,1977,1,,DCB-224,155
Point Arguello Light,Lompoc(Point Arguello),﻿34.577056°N,120.647194°W,1901,1934,1,1967,None,124
Point Blunt Light,San Francisco(Angel Island),﻿37.8532333°N,122.4192361°W,1915,1976,1,,Un­known,60
Point Bonita Light,San Francisco(Point Bonita),﻿37.815614°N,122.529578°W,1855,1980,1,,Second-order Fresnel,124
Point Cabrillo Light,Caspar,﻿39.3486028°N,123.8261167°W,1909,1973,1,,Third-order Fresnel,81
Point Conception Light,Lompoc(Point Conception),﻿34.4487528°N,120.4707528°W,1856,1973,1,,VRB-25,133
Point Diablo Light,San Francisco(Golden Gate),﻿37.820171°N,122.499423°W,1923,1923,1,,Un­known,0
Point Fermin Light,Los Angeles(San Pedro),﻿33.705420°N,118.293649°W,1874,,0,1942,None,120
Point Hueneme Light,Port Hueneme,34.145176°N,119.210019°W,1874,1972,1,,LED,52
Point Knox Light,San Francisco,37.856283°N,122.442262°W,1900,,0,1963,None,0
Point Loma Light (old),San Diego(Point Loma),32.671983°N,117.240938°W,1855,,0,1891,Third-order Fresnel (Deactivated),462
Point Loma Light (new),San Diego(Point Loma),﻿32.665071°N,117.242621°W,1891,1973,1,,VLB-44,88
Point Montara Light,Montara,﻿37.536503°N,122.519311°W,1900,1970,1,,FA 251,70
Point Pinos Light,Pacific Grove,﻿36.633389°N,121.933783°W,1855,1975,1,,Third-order Fresnel,89
Point Reyes Light,Point Reyes Station(Point Reyes),﻿37.995621°N,123.023215°W,1870,1975,1,,First-order Fresnel,256
Point San Luis Light,Avila Beach,﻿35.160362°N,120.760882°W,1890,1974,1,1975,None,116
Point Sur Light,Carmel-by-the-Sea,﻿36.3063306°N,121.9014889°W,1889,1972,1,,DCB-224,270
Point Vicente Light,Rancho Palos Verdes,﻿33.741867°N,118.410738°W,1926,1973,1,,Third-order Fresnel,155
Punta Gorda Light,Fortuna,﻿40.249433°N,124.350220°W,1912,,0,1951,None,0
Roe Island Light,Roe Island,38.067856°N,122.028166°W,1891,,0,1945,None,41
Rubicon Point Light,South Lake Tahoe,﻿38.99583°N,120.09472°W,1919,,0,1921,None,200
Santa Barbara Light,Santa Barbara,﻿34.396320°N,119.722625°W,1856,1928,1,,Un­known,142
Santa Cruz Light,Santa Cruz,﻿36.9514833°N,122.0267667°W,1870,1941,1,,Un­known,60
Santa Cruz Breakwater Light,Santa Cruz(Santa Cruz harbor),﻿36.960694°N,122.002222°W,1964,1964,1,,Un­known,60
Southampton Shoal Light,San Francisco Bay,﻿37.88193917°N,122.40023250°W,1905,,0,1960,None,0
St. George Reef Light,Crescent City,﻿41.83633°N,124.37587°W,1892,,0,,Un­known,146
Sugar Pine Point Light,Tahoma,﻿39.061266°N,120.113971°W,1921,,0,1985,None,0
Table Bluff Light,Table Bluff,﻿40.6958389°N,124.2739333°W,1892,1953,1,1971,None,0
Trinidad Head Light,Trinidad,﻿41.051944°N,124.151444°W,1871,1974,1,,375mm,196
Yerba Buena Light,San FranciscoYerba Buena Island,﻿37.8072972°N,122.3623028°W,1875,1958,1,,Un­known,95